X2024.1	X2024.2	X2024.3	X2024.4	U3047	U3013	U3117	U3056	U3039	U3017	U3071	U3073	U3020	e12A
ENSG00000002834.18_LASP1	11.6659379807283	11.5730912651398	11.7583833190472	11.4852311100861	11.6086068014265	12.633413273947	11.3773804266793	11.4813974622157	10.7444167737803	11.0686024332877	12.7171524078884	11.689453954654	12.0068345803429	11.2704112410176
ENSG00000002919.15_SNX11	9.12900572205871	9.05354825160588	9.03739281476738	8.88397892340827	8.95678086123287	9.49715348017611	8.69967848147555	8.62320288061514	8.42350349440034	8.45193883415556	8.85639416867711	9.39785361717028	8.68291088911641	9.49049745643996
ENSG00000002933.9_TMEM176A	7.09587262307932	8.06693558342372	8.67084902356284	8.76701845614942	5.87090291931701	7.10658207649157	6.32622086681616	5.68284451378311	6.34734098166196	6.53410313598941	6.37646902666591	5.68284451378311	7.35606318140757	5.68284451378311
ENSG00000003056.8_M6PR	10.4389659571715	10.470521375786	10.4870061079193	10.3271531126073	10.4581598152425	10.7422465201572	10.8943843665544	10.354975800583	10.661646196196	9.78639994308829	12.1562142709548	10.8248913029334	11.6871029077517	12.5404197981708
ENSG00000003096.14_KLHL13	7.66876206785203	7.50297303021311	7.76653246373945	7.46049846427159	10.9889073535611	9.7318987279396	9.72255902431018	8.8515249551973	8.65901698737332	10.1177100024639	9.45308751384453	9.83560326886438	9.49497013983563	7.44872240958862
ENSG00000003137.9_CYP26B1	9.12900572205871	9.03116022891523	9.26791812847593	9.58411336356215	6.47142022818144	7.23521151032833	6.48861964243837	5.68284451378311	6.41857243287531	6.06794128148704	7.1806392240861	6.65837749265653	6.30719534132817	8.32824530753311
ENSG00000003147.19_ICA1	9.92244483898129	9.56168399895118	9.29564527404242	9.34587974429064	7.49062137726831	6.23004080716854	7.04548116716283	7.20181086071569	6.57923108286019	7.8592781720089	6.19733769597893	6.30677365066605	5.68284451378311	8.72283400311237
ENSG00000003249.15_DBNDD1	11.2587433000781	10.6642006611824	10.4677434913702	10.7631637087795	8.93870853833166	9.1167086074455	9.27099130406909	7.5379749960508	9.14154880726977	8.64011135551556	9.22648667588703	8.04165842117901	9.26996126998705	10.679205386817
ENSG00000003393.16_ALS2	9.61034879870302	9.95208764099272	9.87459381731112	10.0844506729308	9.35841121530525	9.21835338692616	10.0838832438491	9.51076956618025	9.97353525039178	9.72788271433705	9.90104163306151	9.59553019504026	9.44501170390579	9.58828189945243
ENSG00000003400.15_CASP10	6.88686024652127	6.83345306859867	6.97393642478179	6.72235683400093	6.17831407884293	6.3510558361397	6.13964887148781	5.68284451378311	6.13641175416405	6.01659436100509	6.27589870554166	6.59998796698694	6.24213995121002	6.21207482232428
ENSG00000003402.20_CFLAR	9.04251482315716	9.3595648938836	9.33891522725455	9.33503525712594	9.56332938194726	9.58093770341235	10.4205664584331	9.6043371983765	10.772861404431	10.0287706876155	10.0954205164192	10.3443390711637	10.4915200591063	9.68875495923953
ENSG00000003436.16_TFPI	6.8655437438189	6.81723848968873	6.57328704933843	7.03367239191093	10.1185412887136	6.99908999705032	9.27099130406909	7.64849775815151	9.33634584851003	6.11307912353526	9.62253215394291	8.31701514869215	9.48906661136919	8.09927273634371
ENSG00000003509.16_NDUFAF7	8.15903628966609	8.18079545655665	8.11575201000447	8.16614996466298	7.96816142482436	7.82434619886008	8.11217389768746	7.98972715738618	8.0649942081009	7.772250953173	8.05914834700784	8.48730831305577	7.85211082147735	8.58644077540178
